campo1,campo2,campo3,campo4
6931,BJJZH,FALSE,28/7/2001
2009,ZG.2N,TRUE,1/4/1982
-1903,P61F<,TRUE,6/9/2003
-6787,2H80S,FALSE,18/1/1997
-1501,W4?.R,TRUE,5/9/1991
723,P;G46,TRUE,6/7/1989
4948,FZ2T8,FALSE,27/10/1984
-9742,V@S.S,TRUE,26/8/1993
-7847,MKE?2,TRUE,11/2/1996
-6194,G@NH@,TRUE,5/1/1980
9489,WV<G@,FALSE,1/8/1996
-7217,YR8XW,FALSE,7/12/2001
1064,M<D>7,FALSE,27/2/1991
-9251,E21TY,TRUE,27/4/2001
-6640,?<IE.,TRUE,5/10/1995
4110,DLSIT,FALSE,10/11/2016
2322,S/E8;,FALSE,1/6/2012
1172,W70:K,TRUE,7/3/2005
-2276,XYVSK,FALSE,12/10/2008
-5514,U-PY@,FALSE,2/5/1986
-8722,VLE0>,TRUE,7/3/2010
-1983,IDLH:,FALSE,8/1/1997
-163,GDOQ?,TRUE,25/8/2016
4152,<R2?E,TRUE,21/10/2015
2471,I;-K@,TRUE,20/10/1986
-8782,?43AJ,FALSE,14/9/1993
-9103,<.?D4,TRUE,6/5/1986
1457,TNURH,TRUE,9/1/1984
9299,MZGI.,TRUE,14/4/1996
2442,QDJ-R,FALSE,10/9/2000
-7893,4=>>@,TRUE,10/4/2014
826,7CF?I,TRUE,21/6/1985
9688,P8E0G,TRUE,13/5/1995
1086,XT/20,TRUE,16/10/2009
-6386,RO-61,TRUE,11/3/1999
-3149,DBJY?,TRUE,12/3/2017
1236,ZWIAE,FALSE,11/11/2003
975,U4X0P,TRUE,9/10/1994
-8405,O/<BB,FALSE,23/11/2009
2228,X1NN5,TRUE,22/12/2006
-430,FDBWH,FALSE,23/11/2000
4841,J7RKA,FALSE,22/8/2008
869,ODGZ@,FALSE,11/10/1998
-1507,AL8SV,FALSE,25/7/2012
2777,8<=<M,TRUE,8/5/1996
3011,WOCM5,FALSE,21/4/2009
8188,HCZHY,FALSE,13/6/1983
-6504,DNNI<,FALSE,7/11/1987
-8532,OLS0V,TRUE,6/12/1990
686,4WBZ/,FALSE,21/3/2017
-4560,KA<>W,FALSE,2/8/1988
-6768,KVK47,FALSE,10/12/1985
3006,M2JP:,FALSE,20/12/1983
-2396,LE>96,FALSE,13/9/1983
-9016,RJ@78,FALSE,1/6/1997
-2248,.1ROO,FALSE,24/11/2014
-7350,-34GV,FALSE,7/5/2008
-2397,.X/C;,TRUE,9/7/1995
7436,ISZ6Q,FALSE,18/10/1980
-4112,49Q./,TRUE,16/11/1988
-5417,Q0IZS,FALSE,5/12/2012
9811,6=GST,FALSE,13/10/2015
-5218,NFFCE,TRUE,1/4/2005
-3647,S;=6V,TRUE,5/3/1987
-2009,=VVO2,FALSE,6/2/1991
-5131,IE?DI,FALSE,3/6/1982
2598,=HX1Z,FALSE,4/2/2001
-9015,:LK1J,FALSE,4/7/1995
-6359,XG3V6,FALSE,21/7/2011
-6044,0JJJY,TRUE,25/1/2003
2463,KFW-Q,TRUE,15/8/2001
8099,:-?/K,TRUE,6/11/1987
8665,4F08=,TRUE,20/8/2013
-559,A<Q;I,FALSE,7/3/1980
-3745,4F16<,FALSE,1/10/2011
-7551,KBDQ?,FALSE,1/7/2000
4167,Z.;XV,FALSE,25/12/1982
657,0Q1@>,TRUE,23/4/1983
-9167,I3ZBJ,FALSE,9/10/2009
4352,:28ZA,TRUE,2/2/2014
-8962,HQG;J,FALSE,18/9/1998
8309,GFWLE,TRUE,5/2/1983
2219,5>LAY,FALSE,23/7/1981
3613,<I-:N,FALSE,13/11/2009
-1605,2OI5/,FALSE,18/8/2004
-2608,872:-,TRUE,14/11/1996
9733,GNCSR,TRUE,23/9/2008
7296,J2D?N,TRUE,15/11/1999
-9414,Z7RXJ,TRUE,15/5/1992
2767,?YKC-,FALSE,5/9/2000
-592,KMNNI,FALSE,16/11/1992
5501,C>9WE,FALSE,27/11/2016
574,K5E.T,FALSE,27/8/1991
-6922,4<D5X,TRUE,21/8/1995
9836,>;EAJ,TRUE,28/7/1992
-6683,CPU<K,TRUE,5/8/2016
5031,WT<.M,TRUE,18/5/2007
-1127,DMU7;,FALSE,21/6/1997
2417,7DDR.,FALSE,6/8/1982
-7947,0@V<D,TRUE,4/2/2016
-6484,1>IIO,FALSE,6/8/1993
8297,Z?WT4,FALSE,16/1/1990
-9261,S5.L:,TRUE,27/10/1996
698,27R3N,TRUE,8/5/2012
-4378,0V5A6,TRUE,5/3/2003
-3777,GZ<37,FALSE,11/8/2015
4758,UL5JX,TRUE,27/1/1998
9544,3JA5/,FALSE,12/9/1981
9940,;1;KL,FALSE,12/9/2001
-3580,HI/V/,FALSE,20/6/2015
-8798,9RO/T,FALSE,12/5/2008
7612,4Y70P,FALSE,17/2/2014
-5837,09:PR,TRUE,14/11/1982
5191,R<XJ8,FALSE,22/2/1999
2012,OR-W/,TRUE,6/9/1986
-249,F2736,TRUE,20/4/2016
8690,8K9I=,FALSE,10/3/2007
-4426,8LONY,TRUE,2/1/2010
2392,47IYI,TRUE,22/3/1998
-2220,B727J,FALSE,24/3/2000
3903,>W:XY,FALSE,24/11/1999
-4789,==SK>,FALSE,4/3/1987
6881,8MBF=,FALSE,13/5/2017
-299,F84-W,TRUE,11/12/2008
-4588,W2B9@,FALSE,2/6/2009
-8286,L<FG:,FALSE,13/1/1988
-6487,>T5=5,TRUE,19/1/1986
-9892,3@F2U,TRUE,18/4/1998
6591,B1J7<,TRUE,25/5/2017
6968,AV:?T,FALSE,25/9/1994
9525,<GILP,TRUE,3/12/2011
-6129,7VW2J,FALSE,15/7/2000
1124,YHI?F,FALSE,27/9/2011
-5368,W?.9A,FALSE,28/10/2011
-4996,5P=8X,TRUE,27/8/1980
1101,HCFXD,TRUE,10/9/2012
8694,YB9Z?,TRUE,6/2/2009
-2738,/?7.E,TRUE,22/11/2001
9278,B:.8Y,FALSE,1/11/1982
-1185,K1<RH,FALSE,14/4/1984
2671,LI1ST,FALSE,1/5/1981
3988,ELIWO,FALSE,24/3/2010
-6010,<?WZQ,FALSE,2/6/1984
-2797,MU:8U,FALSE,18/3/2015
5748,IMGW.,TRUE,8/1/2015
-2994,;MKU-,FALSE,28/12/1994
4350,60?V?,FALSE,28/5/1994
-8849,QX7H6,TRUE,22/8/1986
5802,NT548,TRUE,3/2/2000
2230,DQSII,FALSE,24/10/2011
-3096,?;XJ7,TRUE,9/5/2017
-1419,S83AF,FALSE,10/7/1980
-1433,L35XT,FALSE,15/2/2012
2951,O:V0@,TRUE,11/4/2004
-3592,F<L4D,TRUE,26/1/1995
4,QJLMB,TRUE,15/3/2012
-4909,O3>L6,FALSE,28/3/2002
-1940,BC3LZ,TRUE,20/3/2017
-5645,KQMC?,FALSE,21/4/1991
2384,L-.T=,FALSE,27/10/1989
3854,=:Y@S,FALSE,4/9/2010
-823,3;ZKR,TRUE,11/5/1985
-9278,W9IJ<,TRUE,3/11/1992
8559,JQW?U,TRUE,26/11/2006
9759,/7UMT,FALSE,15/11/1996
1524,J?H51,TRUE,27/8/1996
8432,QOQFE,FALSE,28/9/1985
