campo1,campo2,campo3,campo4
-6194,G@NH@,TRUE,5/1/1980
-1921,15FZ<,FALSE,9/1/1980
3902,G2VQW,TRUE,13/1/1980
6553,G<6WG,FALSE,15/1/1980
-715,BO0S=,FALSE,19/1/1980
-4202,CF8ER,FALSE,22/1/1980
7913,CX;=O,FALSE,2/2/1980
-1035,>/WK=,TRUE,3/2/1980
-2959,9L7SP,TRUE,6/2/1980
-5389,/XTP4,FALSE,9/2/1980
-3940,:--0O,FALSE,9/2/1980
262,H/;YC,FALSE,9/2/1980
-5130,0NOLD,TRUE,11/2/1980
-2748,7.X3Z,FALSE,15/2/1980
-9004,?W4BU,TRUE,17/2/1980
8544,Z4ZQZ,FALSE,19/2/1980
8971,HVN/:,TRUE,21/2/1980
-8707,>4H<<,TRUE,22/2/1980
5951,U@E32,FALSE,23/2/1980
8983,U=J<.,FALSE,1/3/1980
-2466,I9CV:,FALSE,3/3/1980
-559,A<Q;I,FALSE,7/3/1980
-9109,8.P?9,TRUE,8/3/1980
-4278,A3ZIU,FALSE,9/3/1980
-3146,QICMR,FALSE,10/3/1980
-9613,4RV5W,TRUE,12/3/1980
-4062,A8DG/,TRUE,12/3/1980
3045,T@T4M,FALSE,16/3/1980
3806,D6=7N,FALSE,17/3/1980
2127,-VGO;,TRUE,17/3/1980
-2644,QZTKF,FALSE,18/3/1980
-4094,BM96M,FALSE,21/3/1980
5625,E>H<L,FALSE,22/3/1980
3382,=Z/.S,TRUE,24/3/1980
7557,27LS1,FALSE,6/4/1980
2314,VC2/-,FALSE,11/4/1980
-8745,@CAYB,TRUE,20/4/1980
4276,5PB?L,TRUE,22/4/1980
-7517,U-YND,FALSE,23/4/1980
-102,J@I@4,FALSE,25/4/1980
-5610,A9=9Y,FALSE,26/4/1980
5399,QX1C0,FALSE,27/4/1980
-4587,89-6B,TRUE,1/5/1980
6447,YNIGK,FALSE,18/5/1980
7514,7>00Q,FALSE,19/5/1980
4920,Q:WXD,FALSE,20/5/1980
-5161,E:E<;,FALSE,22/5/1980
-226,XA<PI,FALSE,25/5/1980
2407,/7NUD,FALSE,26/5/1980
-7769,4ZLR8,TRUE,8/6/1980
-5773,;L38K,TRUE,8/6/1980
2543,GOY9U,TRUE,8/6/1980
-552,W;4.5,FALSE,9/6/1980
3333,R0J4I,FALSE,11/6/1980
-3821,H/D;R,FALSE,15/6/1980
8910,4Z7MX,TRUE,16/6/1980
